lItemID	lItemXRefID	lLogonID	lStatusID	dtCreated	dtModified
5805883	5704964	22958	0	2019-08-05 07:15:00	2019-08-05 07:15:00
5805882	5565615	23591	0	2019-08-05 07:13:00	2019-08-05 07:13:00
5805881	770209	23591	0	2019-08-05 07:08:00	2019-08-05 07:08:00
5805880	5798992	22958	0	2019-08-05 07:07:00	2019-08-05 07:07:00
5805879	3843800	23591	0	2019-08-05 07:06:00	2019-08-05 07:06:00
5805878	5777106	22958	0	2019-08-05 07:05:00	2019-08-05 07:05:00
5805877	5763769	23591	0	2019-08-05 07:02:00	2019-08-05 07:02:00
5805876	5763768	23591	0	2019-08-05 07:01:00	2019-08-05 07:01:00
5805875	5757886	23591	0	2019-08-05 06:59:00	2019-08-05 06:59:00
5805874	5763850	23591	0	2019-08-05 06:56:00	2019-08-05 06:56:00
5805873	5762970	23591	0	2019-08-05 06:56:00	2019-08-05 06:56:00
5805872	5801842	23591	0	2019-08-05 06:51:00	2019-08-05 06:51:00
5805871	5768453	23591	0	2019-08-05 06:50:00	2019-08-05 06:50:00
5805870	358061	22958	0	2019-08-05 06:48:00	2019-08-05 06:48:00
5805868	5804749	22958	0	2019-08-05 06:44:00	2019-08-05 06:44:00
5805868	5805340	7025	0	2019-08-05 09:48:00	2019-08-05 09:48:00
5805867	5805017	22958	0	2019-08-05 06:27:00	2019-08-05 06:27:00
5805087	5431682	22958	0	2019-08-02 10:03:00	2019-08-02 10:03:00
5805086	5803079	22958	0	2019-08-02 09:37:00	2019-08-02 09:37:00
5805085	5766172	22958	0	2019-08-02 09:33:00	2019-08-02 09:33:00
5805084	1004322	22958	0	2019-08-02 09:29:00	2019-08-02 09:29:00
